Title,Description,Link
Satellites Help Improve Crop Yields in India,Satellites provide crucial information for researchers to monitor and help improve agricultural productivity in India.,https://www.earthdata.nasa.gov//learn/articles/satellites-help-improve-crop-yields-india
Fires and Smoke in India and Pakistan,"Image captured on Nov 1, 2022 by the VIIRS instrument aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/Fires-India-Pakistan-1-Nov-2022
"Brahmaputra River, India","Image captured on 9 January 2017 by the MODIS instrument, aboard the Terra satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/brahmaputra-river-india
Fires in Northwest India,"Image captured on 26 October 2016 by the Visible Infrared Imaging Radiometer Suite (VIIRS) instrument, aboard the joint NASA/NOAA Suomi National Polar-orbiting Partnership (Suomi NPP) satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/fires-in-northwest-india
Tropical Cyclone Vardah approaching India,"Image captured on 11 December 2016 by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/tropical-cyclone-vardah-approaching-india
Fires and Smoke in Northern India,"Image captured on 13 November 2017, by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/fires-and-smoke-in-northern-india
High Aerosol Index Over Northern India,"Image captured on 9 November 2020, by the OMPS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/high-aerosol-index-over-northern-india
High Aerosol Optical Depth over Northern India,"Image captured on 24 December 2018, by the MODIS instrument, aboard the Terra satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/high-aerosol-optical-depth-over-northern-india
Smoke and fires in northwest India—November 2015,"Image captured on 9 November 2015 by the MODIS instrument, aboard the Aqua satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/smoke-and-fires-in-northwest-india
Smoke and Fires in Northwest India—November 2016,"Image captured on 28 November 2016 by the VIIRS instrument, aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/smoke-and-fires-in-northwest-india-2016-11-28
Paving a New Lifestyle,"As rapid urbanization transforms India's landscape, doctors face a new set of challenges in protecting public health.",https://www.earthdata.nasa.gov//learn/sensing-our-planet/paving-a-new-lifestyle
"High Aerosol Index over Punjab, India","Image captured Nov. 1, 2021, by the VIIRS instrument aboard the joint NASA/NOAA Suomi NPP satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/high-aerosol-index-over-punjab-india
From Indonesia to India,Researchers follow the wanderings of fresh water in the tropics.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/from-indonesia-to-india
,,https://www.earthdata.nasa.gov//sensors/nisar-s-band-sar
The Price of Tea,Satellites help make a satisfying brew.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/the-price-of-tea
,,https://www.earthdata.nasa.gov//topics/climate-indicators/atmospheric-ocean-indicators/sea-surface-temperature-indices/pacific-warm
User Profile: Dr. Pinki Mondal,"Who uses NASA Earth science data? Dr. Pinki Mondal, to study the effects of climate change on agricultural systems and communities.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-pinki-mondal
User Profile: Dr. Karen Seto,"Who uses NASA Earth science data? Dr. Karen Seto, to study the environmental effects of urbanization.",https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-karen-seto
Can Citizen Science and Low-Cost Sensors Help Improve Earth System Data?,,https://www.earthdata.nasa.gov//esds/competitive-programs/csesp/improve-earth-system-data
Worldview Image of the Week Archive,"Each week, Earthdata features a new image showcasing the data and visualizations available within Worldview. Worldview uses NASA's Global Imagery Browse Services (GIBS) to rapidly retrieve its imagery for an interactive browsing experience.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive
User Profile: Dr. Steven Massie,Aerosols have a huge impact on climate and human health. Dr. Steven Massie uses remotely-sensed data to better understand these impacts and improve how aerosols are detected by Earth observing satellites.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-steven-massie
The Sundarbans,"Image captured on 24 February 2018, by the MODIS instrument, aboard the Aqua satellite.",https://www.earthdata.nasa.gov//worldview/worldview-image-archive/the-sundarbans
EOSDIS New Datasets: November 2017,,https://www.earthdata.nasa.gov//eosdis/eosdis-data-news-archive/eosdis-data-news-november-2017
Squeezing Water from Rock,Studying modern earthquakes that produce liquefaction can help better interpret the geologic record of liquefaction during past events.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/squeezing-water-from-rock
