Title,Description,Link
Community Tools for Analysis of NASA Earth Observation System Data in the Cloud,,https://www.earthdata.nasa.gov//esds/competitive-programs/access/eos-data-cloud
In Memoriam: Dr. Roger Barry (1935 - 2018),The cryosphere expert and University of Colorado Distinguished Professor of Geography was the founding director of the National Snow and Ice Data Center (NSIDC).,https://www.earthdata.nasa.gov//learn/articles/in-memoriam-dr-roger-barry-1935-2018
New Vegetation Indices and Surface Reflectance Products Available from LANCE,LANCE has started generating NRT daily 8-day rolling datasets following requests from the dust modeling and agricultural monitoring communities.,https://www.earthdata.nasa.gov//news/new-vegetation-indices-and-surface-reflectance-products-available-from-lance
A Unified and Coherent Land Surface Temperature and Emissivity (LST&E) Earth System Data Record (ESDR) for Earth Science,,https://www.earthdata.nasa.gov//esds/competitive-programs/measures/lst-e-esdr
Distant Fields of Grain,Remote estimates of crop yields help international aid agencies decide how to act.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/distant-fields-of-grain
ICARTT File Format Standards V2.0,,https://www.earthdata.nasa.gov//esdis/esco/standards-and-practices/icartt-file-format
A Catalog of Change,Researchers assemble a picture of climate change impacts around the world.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/a-catalog-of-change
User Profile: Dr. Priscila Kienteca Lange,Life on Earth would not be possible without the help of phytoplankton. Dr. Priscila Kienteca Lange uses NASA ocean biology data to study the biomass and distribution of these microscopic organisms.,https://www.earthdata.nasa.gov//learn/data-user-profiles/user-profile-dr-priscila-kienteca-lange
EOSDIS Acronym and Symbol List,Acronym and symbol list for NASA's Earth Observing System Data and Information System.,https://www.earthdata.nasa.gov//learn/acronym-list
Zebras Without Borders,A new generation reconnects with greener pastures.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/zebras-without-borders
Connecting Rainfall and Landslides,Scientists use satellites to plot heavy rainfall and help assess landslide and flood hazards.,https://www.earthdata.nasa.gov//learn/sensing-our-planet/connecting-rainfall-and-landslides
EOSDIS New Datasets: June 2018,,https://www.earthdata.nasa.gov//eosdis/eosdis-data-news-archive/eosdis-data-news-june-2018
